datetime,portfolio_value,cash,positions,return
2022-09-09 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-10 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-11 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-12 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-13 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-14 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-15 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-16 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-17 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-18 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-19 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-20 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-21 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-22 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-23 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-24 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-25 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-26 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-27 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-28 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-29 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-30 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-01 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-02 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-03 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-04 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-05 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-06 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-07 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-08 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-09 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-10 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-11 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-12 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-13 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-14 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-15 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-16 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-17 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-18 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
